idx_p,idx_v,nb,displace_func,metric,value_uni,value_opt,time_uni,time_opt
1,1,1,black_box,obj_pwldr,75577.69586257263,75411.86636676126,0.032000064849853516,1.2750000953674316
1,1,1,black_box,dr_pwldr,75549.54616938064,75382.90844923093,0.032000064849853516,1.2750000953674316
1,1,1,black_box,reopt_pwldr,73696.35123795508,73696.35123795512,0.032000064849853516,1.2750000953674316
1,1,1,local_search,obj_pwldr,75577.69586257263,75411.86636676126,0.032000064849853516,0.06399989128112793
1,1,1,local_search,dr_pwldr,75549.54616938064,75382.90844923093,0.032000064849853516,0.06399989128112793
1,1,1,local_search,reopt_pwldr,73696.35123795508,73696.35123795512,0.032000064849853516,0.06399989128112793
1,1,2,black_box,obj_pwldr,75443.56243418358,75412.40167108414,0.03600001335144043,1.6690001487731934
1,1,2,black_box,dr_pwldr,75412.65725775402,75383.40120877104,0.03600001335144043,1.6690001487731934
1,1,2,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.03600001335144043,1.6690001487731934
1,1,2,local_search,obj_pwldr,75443.56243418358,75412.40167108414,0.03600001335144043,0.15999984741210938
1,1,2,local_search,dr_pwldr,75412.65725775402,75383.40120877104,0.03600001335144043,0.15999984741210938
1,1,2,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.03600001335144043,0.15999984741210938
1,1,3,black_box,obj_pwldr,75427.29640619489,75411.92903403945,0.016000032424926758,2.1130001544952393
1,1,3,black_box,dr_pwldr,75398.77229180398,75382.9660599423,0.016000032424926758,2.1130001544952393
1,1,3,black_box,reopt_pwldr,73696.35123795512,73696.35123795511,0.016000032424926758,2.1130001544952393
1,1,3,local_search,obj_pwldr,75427.29640619489,75411.92903403947,0.016000032424926758,0.12899994850158691
1,1,3,local_search,dr_pwldr,75398.77229180398,75382.9660599423,0.016000032424926758,0.12899994850158691
1,1,3,local_search,reopt_pwldr,73696.35123795512,73696.35123795511,0.016000032424926758,0.12899994850158691
1,1,4,black_box,obj_pwldr,75439.37656240945,75412.10067393014,0.031999826431274414,2.500999927520752
1,1,4,black_box,dr_pwldr,75410.22588706049,75383.0686430292,0.031999826431274414,2.500999927520752
1,1,4,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.031999826431274414,2.500999927520752
1,1,4,local_search,obj_pwldr,75439.37656240945,75411.8864907459,0.031999826431274414,0.2390000820159912
1,1,4,local_search,dr_pwldr,75410.22588706049,75382.91609932156,0.031999826431274414,0.2390000820159912
1,1,4,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.031999826431274414,0.2390000820159912
1,1,5,black_box,obj_pwldr,75428.56407984326,75411.90389426937,0.03599977493286133,3.0219998359680176
1,1,5,black_box,dr_pwldr,75398.32808872854,75382.93917694537,0.03599977493286133,3.0219998359680176
1,1,5,black_box,reopt_pwldr,73696.35123795512,73696.35123795511,0.03599977493286133,3.0219998359680176
1,1,5,local_search,obj_pwldr,75428.56407984326,75411.90389426937,0.03599977493286133,0.23799991607666016
1,1,5,local_search,dr_pwldr,75398.32808872854,75382.93917694537,0.03599977493286133,0.23799991607666016
1,1,5,local_search,reopt_pwldr,73696.35123795512,73696.35123795511,0.03599977493286133,0.23799991607666016
1,1,6,black_box,obj_pwldr,75416.80515281614,75411.87015842106,0.04900002479553223,3.5849997997283936
1,1,6,black_box,dr_pwldr,75387.13588615909,75382.91195524158,0.04900002479553223,3.5849997997283936
1,1,6,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.04900002479553223,3.5849997997283936
1,1,6,local_search,obj_pwldr,75416.80515281614,75411.87015842106,0.04900002479553223,0.30299997329711914
1,1,6,local_search,dr_pwldr,75387.13588615909,75382.91195524158,0.04900002479553223,0.30299997329711914
1,1,6,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.04900002479553223,0.30299997329711914
1,1,7,black_box,obj_pwldr,75417.73181685117,75411.89799539256,0.04799985885620117,4.164000034332275
1,1,7,black_box,dr_pwldr,75388.66711997868,75382.91519664861,0.04799985885620117,4.164000034332275
1,1,7,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.04799985885620117,4.164000034332275
1,1,7,local_search,obj_pwldr,75417.73181685117,75411.86746411462,0.04799985885620117,0.6059999465942383
1,1,7,local_search,dr_pwldr,75388.66711997868,75382.89756523693,0.04799985885620117,0.6059999465942383
1,1,7,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.04799985885620117,0.6059999465942383
1,1,8,black_box,obj_pwldr,75420.199988422,75411.97582758819,0.05000019073486328,4.634999990463257
1,1,8,black_box,dr_pwldr,75390.89270172144,75382.98552029877,0.05000019073486328,4.634999990463257
1,1,8,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.05000019073486328,4.634999990463257
1,1,8,local_search,obj_pwldr,75420.199988422,75411.97582758819,0.05000019073486328,0.49000000953674316
1,1,8,local_search,dr_pwldr,75390.89270172144,75382.98552029877,0.05000019073486328,0.49000000953674316
1,1,8,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.05000019073486328,0.49000000953674316
1,1,9,black_box,obj_pwldr,75417.36947903849,75411.88918304225,0.04700016975402832,5.36899995803833
1,1,9,black_box,dr_pwldr,75387.75444365048,75382.92419742356,0.04700016975402832,5.36899995803833
1,1,9,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.04700016975402832,5.36899995803833
1,1,9,local_search,obj_pwldr,75417.36947903849,75411.88918304225,0.04700016975402832,0.5740001201629639
1,1,9,local_search,dr_pwldr,75387.75444365048,75382.92419742356,0.04700016975402832,0.5740001201629639
1,1,9,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.04700016975402832,0.5740001201629639
1,1,10,black_box,obj_pwldr,75412.96936652936,75411.85268076265,0.06300020217895508,5.944999933242798
1,1,10,black_box,dr_pwldr,75383.85813298576,75382.8947851428,0.06300020217895508,5.944999933242798
1,1,10,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.06300020217895508,5.944999933242798
1,1,10,local_search,obj_pwldr,75412.96936652936,75411.85268076263,0.06300020217895508,1.430999994277954
1,1,10,local_search,dr_pwldr,75383.85813298576,75382.8947851428,0.06300020217895508,1.430999994277954
1,1,10,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.06300020217895508,1.430999994277954
1,2,1,black_box,obj_pwldr,75698.2476207212,75527.2998067918,0.01699995994567871,1.2239999771118164
1,2,1,black_box,dr_pwldr,75674.43406890087,75495.42087860435,0.01699995994567871,1.2239999771118164
1,2,1,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.01699995994567871,1.2239999771118164
1,2,1,local_search,obj_pwldr,75698.2476207212,75527.2998067918,0.01699995994567871,0.04700016975402832
1,2,1,local_search,dr_pwldr,75674.43406890087,75495.42087860435,0.01699995994567871,0.04700016975402832
1,2,1,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.01699995994567871,0.04700016975402832
1,2,2,black_box,obj_pwldr,75572.92504583087,75526.48127109972,0.03299999237060547,1.6510000228881836
1,2,2,black_box,dr_pwldr,75543.58598341096,75494.57021515406,0.03299999237060547,1.6510000228881836
1,2,2,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.03299999237060547,1.6510000228881836
1,2,2,local_search,obj_pwldr,75572.92504583087,75526.48127109972,0.03299999237060547,0.0820000171661377
1,2,2,local_search,dr_pwldr,75543.58598341096,75494.57021515406,0.03299999237060547,0.0820000171661377
1,2,2,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.03299999237060547,0.0820000171661377
1,2,3,black_box,obj_pwldr,75538.02512481794,75526.61680216565,0.021999835968017578,2.003000020980835
1,2,3,black_box,dr_pwldr,75506.86034103905,75494.70118693088,0.021999835968017578,2.003000020980835
1,2,3,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.021999835968017578,2.003000020980835
1,2,3,local_search,obj_pwldr,75538.02512481794,75526.61680216565,0.021999835968017578,0.10100007057189941
1,2,3,local_search,dr_pwldr,75506.86034103905,75494.70118693088,0.021999835968017578,0.10100007057189941
1,2,3,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.021999835968017578,0.10100007057189941
1,2,4,black_box,obj_pwldr,75551.99542714743,75526.68964451872,0.04200005531311035,2.6059999465942383
1,2,4,black_box,dr_pwldr,75521.73092933137,75494.77718769838,0.04200005531311035,2.6059999465942383
1,2,4,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.04200005531311035,2.6059999465942383
1,2,4,local_search,obj_pwldr,75551.99542714743,75526.68964451872,0.04200005531311035,0.18400001525878906
1,2,4,local_search,dr_pwldr,75521.73092933137,75494.77718769838,0.04200005531311035,0.18400001525878906
1,2,4,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.04200005531311035,0.18400001525878906
1,2,5,black_box,obj_pwldr,75544.98893601968,75526.43735378727,0.0410001277923584,3.1589999198913574
1,2,5,black_box,dr_pwldr,75514.03696234146,75494.54437167292,0.0410001277923584,3.1589999198913574
1,2,5,black_box,reopt_pwldr,73696.35123795511,73696.35123795512,0.0410001277923584,3.1589999198913574
1,2,5,local_search,obj_pwldr,75544.98893601968,75526.43735378727,0.0410001277923584,0.25300002098083496
1,2,5,local_search,dr_pwldr,75514.03696234146,75494.54437167292,0.0410001277923584,0.25300002098083496
1,2,5,local_search,reopt_pwldr,73696.35123795511,73696.35123795512,0.0410001277923584,0.25300002098083496
1,2,6,black_box,obj_pwldr,75532.73337967339,75526.4078171623,0.04699993133544922,3.55400013923645
1,2,6,black_box,dr_pwldr,75501.0574428603,75494.48682400373,0.04699993133544922,3.55400013923645
1,2,6,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.04699993133544922,3.55400013923645
1,2,6,local_search,obj_pwldr,75532.73337967339,75526.4078171623,0.04699993133544922,0.3039999008178711
1,2,6,local_search,dr_pwldr,75501.0574428603,75494.48682400373,0.04699993133544922,0.3039999008178711
1,2,6,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.04699993133544922,0.3039999008178711
1,2,7,black_box,obj_pwldr,75531.615157754,75526.36779059123,0.03400015830993652,3.992000102996826
1,2,7,black_box,dr_pwldr,75500.24518771775,75494.45675091477,0.03400015830993652,3.992000102996826
1,2,7,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.03400015830993652,3.992000102996826
1,2,7,local_search,obj_pwldr,75531.615157754,75526.36779059123,0.03400015830993652,0.3810000419616699
1,2,7,local_search,dr_pwldr,75500.24518771775,75494.45675091477,0.03400015830993652,0.3810000419616699
1,2,7,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.03400015830993652,0.3810000419616699
1,2,8,black_box,obj_pwldr,75534.78818856383,75526.45635356217,0.032000064849853516,4.525000095367432
1,2,8,black_box,dr_pwldr,75503.71722186009,75494.56098555707,0.032000064849853516,4.525000095367432
1,2,8,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.032000064849853516,4.525000095367432
1,2,8,local_search,obj_pwldr,75534.78818856383,75526.35323802641,0.032000064849853516,0.5899999141693115
1,2,8,local_search,dr_pwldr,75503.71722186009,75494.42769532137,0.032000064849853516,0.5899999141693115
1,2,8,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.032000064849853516,0.5899999141693115
1,2,9,black_box,obj_pwldr,75532.54360520831,75526.32744261157,0.03399991989135742,5.194999933242798
1,2,9,black_box,dr_pwldr,75501.01172975577,75494.4023691269,0.03399991989135742,5.194999933242798
1,2,9,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.03399991989135742,5.194999933242798
1,2,9,local_search,obj_pwldr,75532.54360520831,75526.32744261157,0.03399991989135742,0.5899999141693115
1,2,9,local_search,dr_pwldr,75501.01172975577,75494.4023691269,0.03399991989135742,0.5899999141693115
1,2,9,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.03399991989135742,0.5899999141693115
1,2,10,black_box,obj_pwldr,75527.71335525314,75526.32634112338,0.04700016975402832,5.835999965667725
1,2,10,black_box,dr_pwldr,75495.84322024819,75494.40111223733,0.04700016975402832,5.835999965667725
1,2,10,black_box,reopt_pwldr,73696.35123795512,73696.35123795511,0.04700016975402832,5.835999965667725
1,2,10,local_search,obj_pwldr,75527.71335525314,75526.32634112338,0.04700016975402832,0.7320001125335693
1,2,10,local_search,dr_pwldr,75495.84322024819,75494.40111223733,0.04700016975402832,0.7320001125335693
1,2,10,local_search,reopt_pwldr,73696.35123795512,73696.35123795511,0.04700016975402832,0.7320001125335693
1,3,1,black_box,obj_pwldr,75727.22892237063,75559.47882632435,0.023000001907348633,1.2379999160766602
1,3,1,black_box,dr_pwldr,75695.08675222569,75531.77774885301,0.023000001907348633,1.2379999160766602
1,3,1,black_box,reopt_pwldr,73696.35123795512,73696.35123795511,0.023000001907348633,1.2379999160766602
1,3,1,local_search,obj_pwldr,75727.22892237063,75559.47882632435,0.023000001907348633,0.06199979782104492
1,3,1,local_search,dr_pwldr,75695.08675222569,75531.77774885301,0.023000001907348633,0.06199979782104492
1,3,1,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.023000001907348633,0.06199979782104492
1,3,2,black_box,obj_pwldr,75606.8879852508,75559.46341568079,0.03399991989135742,1.5429999828338623
1,3,2,black_box,dr_pwldr,75576.50488171566,75531.7635318069,0.03399991989135742,1.5429999828338623
1,3,2,black_box,reopt_pwldr,73696.35123795508,73696.35123795511,0.03399991989135742,1.5429999828338623
1,3,2,local_search,obj_pwldr,75606.8879852508,75559.46341568079,0.03399991989135742,0.08100008964538574
1,3,2,local_search,dr_pwldr,75576.50488171566,75531.76353180691,0.03399991989135742,0.08100008964538574
1,3,2,local_search,reopt_pwldr,73696.35123795508,73696.35123795512,0.03399991989135742,0.08100008964538574
1,3,3,black_box,obj_pwldr,75569.46241695061,75559.84311980836,0.031000137329101562,1.8280000686645508
1,3,3,black_box,dr_pwldr,75541.84106027537,75532.11316777224,0.031000137329101562,1.8280000686645508
1,3,3,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.031000137329101562,1.8280000686645508
1,3,3,local_search,obj_pwldr,75569.46241695061,75559.7469601891,0.031000137329101562,0.17600011825561523
1,3,3,local_search,dr_pwldr,75541.84106027537,75532.07794152613,0.031000137329101562,0.17600011825561523
1,3,3,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.031000137329101562,0.17600011825561523
1,3,4,black_box,obj_pwldr,75582.93562153868,75559.40156980185,0.031999826431274414,2.3350000381469727
1,3,4,black_box,dr_pwldr,75555.05615064093,75531.67891368951,0.031999826431274414,2.3350000381469727
1,3,4,black_box,reopt_pwldr,73696.35123795512,73696.35123795511,0.031999826431274414,2.3350000381469727
1,3,4,local_search,obj_pwldr,75582.93562153868,75559.40156980186,0.031999826431274414,0.16100001335144043
