idx_p,idx_v,nb,displace_func,metric,value_uni,value_opt,time_uni,time_opt
1,1,1,black_box,obj_pwldr,225653.8986596806,225653.8986596806,0.018000125885009766,2.671999931335449
1,1,1,black_box,dr_pwldr,225637.3346880852,225637.3346880852,0.018000125885009766,2.671999931335449
1,1,1,black_box,reopt_pwldr,230117.0995892415,230117.0995892415,0.018000125885009766,2.671999931335449
1,1,1,local_search,obj_pwldr,225653.8986596806,225653.8986596806,0.018000125885009766,0.2109999656677246
1,1,1,local_search,dr_pwldr,225637.3346880852,225637.3346880852,0.018000125885009766,0.2109999656677246
1,1,1,local_search,reopt_pwldr,230117.0995892415,230117.0995892415,0.018000125885009766,0.2109999656677246
1,1,2,black_box,obj_pwldr,225653.8986596806,225653.8986596806,0.031999826431274414,2.9240000247955322
1,1,2,black_box,dr_pwldr,225637.3346880852,225637.3346880852,0.031999826431274414,2.9240000247955322
1,1,2,black_box,reopt_pwldr,230117.0995892415,230117.0995892415,0.031999826431274414,2.9240000247955322
1,1,2,local_search,obj_pwldr,225653.8986596806,225653.8986596806,0.031999826431274414,0.252000093460083
1,1,2,local_search,dr_pwldr,225637.3346880852,225637.3346880852,0.031999826431274414,0.252000093460083
1,1,2,local_search,reopt_pwldr,230117.0995892415,230117.0995892415,0.031999826431274414,0.252000093460083
1,1,3,black_box,obj_pwldr,225653.8986596806,225653.8986596806,0.03900003433227539,3.177000045776367
1,1,3,black_box,dr_pwldr,225637.3346880852,225637.3346880852,0.03900003433227539,3.177000045776367
1,1,3,black_box,reopt_pwldr,230117.0995892415,230117.0995892415,0.03900003433227539,3.177000045776367
1,1,3,local_search,obj_pwldr,225653.8986596806,225653.8986596806,0.03900003433227539,0.3339998722076416
1,1,3,local_search,dr_pwldr,225637.3346880852,225637.3346880852,0.03900003433227539,0.3339998722076416
1,1,3,local_search,reopt_pwldr,230117.0995892415,230117.0995892415,0.03900003433227539,0.3339998722076416
1,1,4,black_box,obj_pwldr,225653.8986596806,225653.8986596806,0.032000064849853516,3.555999994277954
1,1,4,black_box,dr_pwldr,225637.3346880852,225637.3346880852,0.032000064849853516,3.555999994277954
1,1,4,black_box,reopt_pwldr,230117.0995892415,230117.0995892415,0.032000064849853516,3.555999994277954
1,1,4,local_search,obj_pwldr,225653.8986596806,225653.8986596806,0.032000064849853516,0.4649999141693115
1,1,4,local_search,dr_pwldr,225637.3346880852,225637.3346880852,0.032000064849853516,0.4649999141693115
1,1,4,local_search,reopt_pwldr,230117.0995892415,230117.0995892415,0.032000064849853516,0.4649999141693115
1,1,5,black_box,obj_pwldr,225653.8986596806,225653.8986596806,0.03299999237060547,4.124000072479248
1,1,5,black_box,dr_pwldr,225637.3346880852,225637.3346880852,0.03299999237060547,4.124000072479248
1,1,5,black_box,reopt_pwldr,230117.0995892415,230117.0995892415,0.03299999237060547,4.124000072479248
1,1,5,local_search,obj_pwldr,225653.8986596806,225653.8986596806,0.03299999237060547,0.41299986839294434
1,1,5,local_search,dr_pwldr,225637.3346880852,225637.3346880852,0.03299999237060547,0.41299986839294434
1,1,5,local_search,reopt_pwldr,230117.0995892415,230117.0995892415,0.03299999237060547,0.41299986839294434
1,1,6,black_box,obj_pwldr,225653.8986596806,225653.8986596806,0.04900002479553223,4.163000106811523
1,1,6,black_box,dr_pwldr,225637.3346880852,225637.3346880852,0.04900002479553223,4.163000106811523
