dist,n_clients,n_segments,displace_func,rp_ldr,rp_pwldr_uniform,rp_pwldr,eev_ldr,eev_pwldr_uniform,eev_pwldr,ws,opt_time
"Unif 10,90",2,2,black_box,3404.066081930532,3602.340287672288,3793.2508325389126,3437.5553375715035,3663.9552398771407,3846.2811300002286,4842.302356170653,2.0880000591278076
"Unif 10,90",2,2,ls_independent,3404.066081930532,3602.340287672288,3793.2508325389126,3437.5553375715035,3663.9552398771407,3846.2811300002286,4842.302356170653,0.18199992179870605
"Unif 10,90",2,3,black_box,3404.066081930532,3769.5603944127292,3818.3337034879437,3437.5553375715035,3826.111987202105,3869.8849710073778,4842.302356170653,2.627000093460083
"Unif 10,90",2,3,ls_independent,3404.066081930532,3769.5603944127292,3820.2601116230744,3437.5553375715035,3826.111987202105,3871.439318456434,4842.302356170653,0.5249998569488525
"Unif 10,90",2,4,black_box,3404.066081930532,3799.2658371844905,3816.848573879639,3437.5553375715035,3848.7684949336144,3866.646370012776,4842.302356170653,3.7920000553131104
"Unif 10,90",2,4,ls_independent,3404.066081930532,3799.2658371844905,3821.0185407816107,3437.5553375715035,3848.7684949336144,3872.185251632775,4842.302356170653,1.1369998455047607
"Unif 10,90",2,5,black_box,3404.066081930532,3798.933265181814,3817.9805942081957,3437.5553375715035,3856.784933220407,3871.005096496982,4842.302356170653,5.108999967575073
"Unif 10,90",2,5,ls_independent,3404.066081930532,3798.933265181814,3821.5131256281834,3437.5553375715035,3856.784933220407,3873.4406199153154,4842.302356170653,1.7760000228881836
"Unif 10,90",3,2,black_box,4937.337842973416,5449.808773997552,5663.478618551147,4933.566290532443,5425.122659365957,5635.54929045584,7231.633958228912,3.889000177383423
"Unif 10,90",3,2,ls_independent,4937.337842973416,5449.808773997552,5693.93557532031,4933.566290532443,5425.122659365957,5674.135246169781,7231.633958228912,1.2630000114440918
"Unif 10,90",3,3,black_box,4937.337842973416,5680.389106924277,5687.335065227871,4933.566290532443,5665.374533272323,5673.883417291739,7231.633958228912,7.444000005722046
"Unif 10,90",3,3,ls_independent,4937.337842973416,5680.389106924277,5695.717151716433,4933.566290532443,5665.374533272323,5676.505996916484,7231.633958228912,1.940000057220459
"Unif 10,90",3,4,black_box,4937.337842973416,5645.591584233917,5692.754386392775,4933.566290532443,5639.861739819602,5673.858400399534,7231.633958228912,10.365999937057495
"Unif 10,90",3,4,ls_independent,4937.337842973416,5645.591584233917,5695.586236034325,4933.566290532443,5639.861739819602,5676.0393026395095,7231.633958228912,2.684000015258789
"Unif 10,90",3,5,black_box,4937.337842973416,5675.886188276787,5693.47901236518,4933.566290532443,5646.748253188883,5671.186984715485,7231.633958228912,15.444000005722046
"Unif 10,90",3,5,ls_independent,4937.337842973416,5675.886188276787,5695.817585972818,4933.566290532443,5646.748253188883,5676.326735846867,7231.633958228912,10.566999912261963
"Unif 10,90",4,2,black_box,9621.734518149908,10294.469519988636,10433.108584793734,9573.152452756549,10222.661348563313,10371.122391622293,11993.372644283076,8.717999935150146
"Unif 10,90",4,2,ls_independent,9621.734518149908,10294.469519988636,10480.416867367441,9573.152452756549,10222.661348563313,10421.606100346697,11993.372644283076,3.135999917984009
"Unif 10,90",4,3,black_box,9621.734518149908,10472.270468712491,10478.827541553117,9573.152452756549,10416.63414771816,10424.066693885607,11993.372644283076,15.264999866485596
"Unif 10,90",4,3,ls_independent,9621.734518149908,10472.270468712491,10492.526831934087,9573.152452756549,10416.63414771816,10434.49786605685,11993.372644283076,6.741999864578247
"Unif 10,90",4,4,black_box,9621.734518149908,10441.79190051353,10488.723926811346,9573.152452756549,10386.502570194916,10428.381281516591,11993.372644283076,24.83799982070923
