dist,n_clients,n_segments,displace_func,PI,sum_model,sum_pi
"Unif 10,90",2,2,black_box,1.800700908781024,3.6209475228291303e6,1.2928719062704593e6
"Unif 10,90",2,5,black_box,2.1193673740391135,4.0329424432318253e6,1.2928719062704593e6
"Unif 10,90",2,10,black_box,2.146261493598501,4.067713094854037e6,1.2928719062704593e6
"Unif 10,90",5,2,black_box,5.529956141466364,2.5507136617116835e7,3.9061727314127046e6
"Unif 10,90",5,5,black_box,5.442477061134591,2.51654282189558e7,3.9061727314127046e6
"Unif 10,90",5,10,black_box,5.434647061320125,2.5134842887193564e7,3.9061727314127046e6
"Unif 10,90",10,2,black_box,12.600282592589117,9.573877093960482e7,7.039469238071091e6
"Unif 10,90",10,5,black_box,12.526051760158198,9.521622527819096e7,7.039469238071091e6
"Unif 10,90",10,10,black_box,12.03800797944958,9.178065609706073e7,7.039469238071091e6
"Unif 35,65",2,2,black_box,0.5525221214715799,1.6887677102486922e6,1.087757582898703e6
"Unif 35,65",2,5,black_box,0.51553962347281,1.6485397176159942e6,1.087757582898703e6
"Unif 35,65",2,10,black_box,0.4334288257905921,1.5592230747993004e6,1.087757582898703e6
"Unif 35,65",5,2,black_box,1.7712136130859932,8.812568045504753e6,3.1800392448603674e6
"Unif 35,65",5,5,black_box,1.9374889545068157,9.341330156675525e6,3.1800392448603674e6
"Unif 35,65",5,10,black_box,1.9036733446707057,9.233795190307809e6,3.1800392448603674e6
"Unif 35,65",10,2,black_box,3.700648087408038,3.613200421483548e7,7.686600558681442e6
"Unif 35,65",10,5,black_box,3.804715855858097,3.6931931581944436e7,7.686600558681442e6
"Unif 35,65",10,10,black_box,3.726313459550651,3.632928367868566e7,7.686600558681442e6
"Normal 50,5 - 10,90",2,2,black_box,0.9658765281822675,3.3200020668963334e6,1.688815151563027e6
"Normal 50,5 - 10,90",2,5,black_box,0.9658765281822675,3.3200020668963334e6,1.688815151563027e6
"Normal 50,5 - 10,90",2,10,black_box,0.9658765281822675,3.3200020668963334e6,1.688815151563027e6
"Normal 50,5 - 10,90",5,2,black_box,3.7735444123894797,2.015220312900019e7,4.221643581380792e6
"Normal 50,5 - 10,90",5,5,black_box,-0.9988855473848838,4704.821729358625,4.221643581380792e6
"Normal 50,5 - 10,90",5,10,black_box,3.7430782951961152,2.002358604090123e7,4.221643581380792e6
"Normal 50,5 - 10,90",10,2,black_box,9.074372930784332,7.55516526643964e7,7.499390104324279e6
"Normal 50,5 - 10,90",10,5,black_box,9.14075696092091,7.604949240308782e7,7.499390104324279e6
"Normal 50,5 - 10,90",10,10,black_box,9.218365607758408,7.663150992119095e7,7.499390104324279e6
