dist,n_clients,n_products,n_segments,displace_func,uncertaint_type,rp_ldr,rp_pwldr_uniform,rp_pwldr,eev_ldr,eev_pwldr_uniform,eev_pwldr,ws,opt_time
"Unif 10,90",2,5,2,black_box,demand,3070.679621945625,3048.4017615948387,3005.98153624967,3091.759836668288,3068.749666106356,3029.477984975393,2537.102551463798,1.812000036239624
"Unif 10,90",2,5,2,ls_independent,demand,3070.679621945625,3048.4017615948387,3005.664050671328,3091.759836668288,3068.749666106356,3030.1076520347992,2537.102551463798,0.14500021934509277
"Unif 10,90",2,5,2,ls_dependent,demand,3070.679621945625,3048.4017615948387,3005.664050671328,3091.759836668288,3068.749666106356,3030.1076520347992,2537.102551463798,0.1119999885559082
"Unif 10,90",2,5,3,black_box,demand,3070.679621945625,3049.281733071017,2987.787320228887,3091.759836668288,3070.0875148874397,3009.9456878670862,2537.102551463798,2.052000045776367
"Unif 10,90",2,5,3,ls_independent,demand,3070.679621945625,3049.281733071017,2985.4867354482835,3091.759836668288,3070.0875148874397,3008.966119317774,2537.102551463798,0.32899999618530273
"Unif 10,90",2,5,3,ls_dependent,demand,3070.679621945625,3049.281733071017,2985.4867354482835,3091.759836668288,3070.0875148874397,3008.966119317774,2537.102551463798,0.10899996757507324
"Unif 10,90",2,5,4,black_box,demand,3070.679621945625,3019.65516219165,2987.8793414406814,3091.759836668288,3047.913800894404,3012.418844217637,2537.102551463798,2.750999927520752
"Unif 10,90",2,5,4,ls_independent,demand,3070.679621945625,3019.65516219165,2985.4828548820915,3091.759836668288,3047.913800894404,3009.010621770504,2537.102551463798,0.6689999103546143
"Unif 10,90",2,5,4,ls_dependent,demand,3070.679621945625,3019.65516219165,2985.4828548820915,3091.759836668288,3047.913800894404,3009.010621770504,2537.102551463798,0.2239999771118164
"Unif 10,90",2,5,5,black_box,demand,3070.679621945625,3008.530775363797,2986.1376370517714,3091.759836668288,3035.1772984102513,3009.132673769192,2537.102551463798,3.7769999504089355
"Unif 10,90",2,5,5,ls_independent,demand,3070.679621945625,3008.530775363797,2985.4778599705155,3091.759836668288,3035.1772984102513,3008.9588471722063,2537.102551463798,0.6180000305175781
"Unif 10,90",2,5,5,ls_dependent,demand,3070.679621945625,3008.530775363797,2985.4778599705155,3091.759836668288,3035.1772984102513,3008.958847172207,2537.102551463798,0.37600016593933105
"Unif 10,90",3,5,2,black_box,demand,5389.461458660038,5298.976067164428,5178.116928579472,5378.455231064899,5257.763890933909,5148.31551827022,4579.416765169107,2.639000177383423
"Unif 10,90",3,5,2,ls_independent,demand,5389.461458660038,5298.976067164428,5170.311497486102,5378.455231064899,5257.763890933909,5141.775243544987,4579.416765169107,0.3190000057220459
"Unif 10,90",3,5,2,ls_dependent,demand,5389.461458660038,5298.976067164428,5170.311497486101,5378.455231064899,5257.763890933909,5141.775243544986,4579.416765169107,0.15799999237060547
"Unif 10,90",3,5,3,black_box,demand,5389.461458660038,5183.248044020769,5172.654580131946,5378.455231064899,5150.872777095407,5144.121174079875,4579.416765169107,4.682000160217285
"Unif 10,90",3,5,3,ls_independent,demand,5389.461458660038,5183.248044020769,5170.2899553596035,5378.455231064899,5150.872777095407,5141.747526095549,4579.416765169107,0.874000072479248
"Unif 10,90",3,5,3,ls_dependent,demand,5389.461458660038,5183.248044020769,5170.289955359604,5378.455231064899,5150.872777095407,5141.747526095549,4579.416765169107,0.45399999618530273
"Unif 10,90",3,5,4,black_box,demand,5389.461458660038,5174.7782887118965,5170.608867129002,5378.455231064899,5148.25765710537,5142.755315518229,4579.416765169107,6.586999893188477
"Unif 10,90",3,5,4,ls_independent,demand,5389.461458660038,5174.7782887118965,5170.281259618237,5378.455231064899,5148.25765710537,5142.169021732883,4579.416765169107,1.2109999656677246
"Unif 10,90",3,5,4,ls_dependent,demand,5389.461458660038,5174.7782887118965,5170.281259618238,5378.455231064899,5148.25765710537,5142.169021732883,4579.416765169107,0.8220000267028809
"Unif 10,90",3,5,5,black_box,demand,5389.461458660038,5188.903830396552,5170.095683059685,5378.455231064899,5166.18848581437,5141.235594889572,4579.416765169107,9.495000123977661
"Unif 10,90",3,5,5,ls_independent,demand,5389.461458660038,5188.903830396552,5169.290738383727,5378.455231064899,5166.18848581437,5140.927183080479,4579.416765169107,1.9930000305175781
"Unif 10,90",3,5,5,ls_dependent,demand,5389.461458660038,5188.903830396552,5169.290738383729,5378.455231064899,5166.18848581437,5140.927183080479,4579.416765169107,1.3389999866485596
"Unif 10,90",4,5,2,black_box,demand,6466.552723552178,6444.545137872662,6308.227489793926,6485.200754820706,6462.555764184473,6334.068483388129,5348.124350976403,4.953000068664551
"Unif 10,90",4,5,2,ls_independent,demand,6466.552723552178,6444.545137872662,6298.623201962284,6485.200754820706,6462.555764184473,6326.089349822093,5348.124350976403,0.7769999504089355
"Unif 10,90",4,5,2,ls_dependent,demand,6466.552723552178,6444.545137872662,6298.623201962281,6485.200754820706,6462.555764184473,6326.089349822092,5348.124350976403,1.0529999732971191
"Unif 10,90",4,5,3,black_box,demand,6466.552723552178,6393.929893850154,6261.079764298625,6485.200754820706,6414.534350581125,6285.9334220299315,5348.124350976403,9.460000038146973
"Unif 10,90",4,5,3,ls_independent,demand,6466.552723552178,6393.929893850154,6250.050673413998,6485.200754820706,6414.534350581125,6273.607535462315,5348.124350976403,3.4170000553131104
"Unif 10,90",4,5,3,ls_dependent,demand,6466.552723552178,6393.929893850154,6250.050673413997,6485.200754820706,6414.534350581125,6273.607535462315,5348.124350976403,1.11899995803833
"Unif 10,90",4,5,4,black_box,demand,6466.552723552178,6297.31220778176,6267.324136120032,6485.200754820706,6316.08821693854,6290.882493005699,5348.124350976403,14.188999891281128
"Unif 10,90",4,5,4,ls_independent,demand,6466.552723552178,6297.31220778176,6250.7274407578025,6485.200754820706,6316.08821693854,6274.102805827218,5348.124350976403,7.901000022888184
"Unif 10,90",4,5,4,ls_dependent,demand,6466.552723552178,6297.31220778176,6250.727440757802,6485.200754820706,6316.08821693854,6274.102805827218,5348.124350976403,2.003000020980835
"Unif 10,90",4,5,5,black_box,demand,6466.552723552178,6261.812907200299,6254.268850959715,6485.200754820706,6282.930646424926,6278.069676126485,5348.124350976403,20.40400004386902
"Unif 10,90",4,5,5,ls_independent,demand,6466.552723552178,6261.812907200299,6250.25167710922,6485.200754820706,6282.930646424926,6273.507060127098,5348.124350976403,9.38100004196167
"Unif 10,90",4,5,5,ls_dependent,demand,6466.552723552178,6261.812907200299,6249.834876098287,6485.200754820706,6282.930646424926,6273.172819540355,5348.124350976403,15.231000185012817
"Unif 10,90",5,5,2,black_box,demand,11079.001149292395,11036.013091718485,10845.082511642964,11083.078081863605,11037.053124681015,10847.375767504675,9321.2294625458,9.496999979019165
"Unif 10,90",5,5,2,ls_independent,demand,11079.001149292395,11036.013091718485,10807.17945317133,11083.078081863605,11037.053124681015,10806.571252277567,9321.2294625458,3.374000072479248
"Unif 10,90",5,5,2,ls_dependent,demand,11079.001149292395,11036.013091718485,10807.17945317133,11083.078081863605,11037.053124681015,10806.571252277567,9321.2294625458,0.8859999179840088
"Unif 10,90",5,5,3,black_box,demand,11079.001149292395,10969.195203443436,10828.504887883073,11083.078081863605,10969.550241052657,10826.347239014396,9321.2294625458,16.36300015449524
"Unif 10,90",5,5,3,ls_independent,demand,11079.001149292395,10969.195203443436,10770.47655733703,11083.078081863605,10969.550241052657,10767.849489870805,9321.2294625458,9.802000045776367
"Unif 10,90",5,5,3,ls_dependent,demand,11079.001149292395,10969.195203443436,10770.442781305748,11083.078081863605,10969.550241052657,10768.032041428276,9321.2294625458,4.145999908447266
"Unif 10,90",5,5,4,black_box,demand,11079.001149292395,10864.90159059434,10771.38396115738,11083.078081863605,10866.067866157706,10768.858143282298,9321.2294625458,26.091000080108643
"Unif 10,90",5,5,4,ls_independent,demand,11079.001149292395,10864.90159059434,10759.573135543393,11083.078081863605,10866.067866157706,10755.830080396547,9321.2294625458,16.825000047683716
"Unif 10,90",5,5,4,ls_dependent,demand,11079.001149292395,10864.90159059434,10759.573135543393,11083.078081863605,10866.067866157706,10755.830080396547,9321.2294625458,5.3420000076293945
