idx_p,idx_v,variable,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
1,1,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",1339.797177835239,9690.815227313997,3324.916404279149,2270.362305512399,2501.9652695153245,0.0,68.39473568414567,17.20691530466007,0.0,23.001299745319088,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
1,2,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",26.849892709817144,194.20652127693978,66.63221135325055,45.498666009966335,50.14005116708531,0.0,79.76613514317212,25.68651145056936,0.0,30.98883430394751,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
1,3,"Truncated{MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}, Continuous, Float64, Float64, Float64}",26.849892709817144,194.20652127693978,66.63221135325055,45.498666009966335,50.14005116708531,0.0,57.0589355329782,16.366012333680903,0.0,20.859213714273864,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
1,4,Uniform{Float64},26.849892709817144,194.20652127693978,66.63221135325055,45.498666009966335,50.14005116708531,0.0,67.99851545890859,23.859668807156606,0.0,27.84738835020489,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
2,1,Uniform{Float64},25.69662532406496,186.58154637474544,65.13695967130572,41.62001873727425,51.264702224003194,0.0,70.68955577670012,24.79741661144902,0.0,28.62537865958497,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
2,2,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",25.69662532406496,186.58154637474544,65.13695967130572,41.62001873727425,51.264702224003194,0.0,81.08268553679173,24.79340884910826,0.0,30.61404888668857,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
2,3,"Truncated{MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}, Continuous, Float64, Float64, Float64}",25.69662532406496,186.58154637474544,65.13695967130572,41.62001873727425,51.264702224003194,0.0,54.92756191857304,13.971407862390835,0.0,19.13743136515225,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
2,4,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",1281.276527025247,9303.266585832613,3247.837271086144,2075.24343721819,2556.1434155729694,0.0,64.08351919384614,26.965997271495194,0.0,30.31455445411972,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
3,1,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",1407.8358112542683,10014.313861654362,3342.3133371017275,2261.504804236509,2483.059355051978,0.0,75.14160155647211,21.888739125535476,0.0,27.40252572514221,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
3,2,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",27.837677242333186,198.0168673474726,66.08884301507449,44.71760152644079,49.09848460092114,0.0,74.14154344421196,21.104965772983082,0.0,26.853525581564686,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
3,3,"Truncated{MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}, Continuous, Float64, Float64, Float64}",27.837677242333186,198.0168673474726,66.08884301507449,44.71760152644079,49.09848460092114,0.0,61.84338681596337,20.961358732200075,0.0,24.56068978518618,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
3,4,Uniform{Float64},27.837677242333186,198.0168673474726,66.08884301507449,44.71760152644079,49.09848460092114,0.0,82.37466709781778,23.487650803419218,0.0,29.52594366861146,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
