idx_p,metric,value,time
1,obj_std,21380.94409614361,2.2820000648498535
1,reopt_std,20898.030515650546,1.0130000114440918
1,deterministic,18447.174635541964,0.503000020980835
1,reopt_deterministic,20969.036137964868,0.15699982643127441
1,ws,18378.557250364895,0.47100019454956055
1,obj_ldr,28305.856933806863,18.793999910354614
1,reopt_ldr,28285.07481491183,0.08100008964538574
1,dr_ldr,28285.074814911823,0.38299989700317383
2,obj_std,21089.71636836458,0.07999992370605469
2,reopt_std,20802.06881686468,0.1099998950958252
2,deterministic,18477.311520384214,0.017000198364257812
2,reopt_deterministic,20906.166334611353,0.11299991607666016
2,ws,18336.909027945858,0.06200003623962402
2,obj_ldr,27948.979724153804,0.039999961853027344
2,reopt_ldr,27813.311417714383,0.0710000991821289
2,dr_ldr,27897.691389278978,0.0
3,obj_std,20278.851956763447,0.07999992370605469
3,reopt_std,20834.08945909402,0.16100001335144043
3,deterministic,18507.46751251914,0.0
3,reopt_deterministic,20938.224704765445,0.11599993705749512
3,ws,18616.182003843984,0.06400012969970703
3,obj_ldr,26903.48751352732,0.039999961853027344
3,reopt_ldr,26946.257471891204,0.05500006675720215
3,dr_ldr,26946.257471891204,0.01699995994567871
