dist,n_nodes,n_edges,n_segments,displace_func,rp_ldr,rp_pwldr,eev_ldr,eev_pwldr,ws,opt_time
"Unif 10,90",5,15,2,black_box,-5266.666666666667,0.0,-5389.188501193189,0.0,-112.42827352729505,2.3510000705718994
"Unif 10,90",5,15,5,black_box,-5266.666666666667,0.0,-5389.188501193189,0.0,-112.42827352729505,14.208999872207642
"Unif 10,90",10,30,2,black_box,-9016.666666666668,0.0,-8929.415475582877,0.0,-161.9707327555255,8.903000116348267
"Unif 10,90",10,30,5,black_box,-9016.666666666668,0.0,-8929.415475582877,0.0,-161.9707327555255,84.91300010681152
"Normal 50,5 - 10,90",5,15,2,black_box,-5012.499999999999,0.0,-4981.632937191564,0.0,-101.77551063315515,6.836000204086304
"Normal 50,5 - 10,90",5,15,5,black_box,-5012.499999999999,0.0,-4981.632937191564,0.0,-101.77551063315515,33.79699993133545
"Normal 50,5 - 10,90",10,30,2,black_box,-5012.499999999999,0.0,-5020.379568020975,0.0,-179.50345905471752,20.812000036239624
"Normal 50,5 - 10,90",10,30,5,black_box,-5012.499999999999,0.0,-5020.379568020975,0.0,-179.50345905471752,162.6909999847412
"Normal 50,5 - 35,65",5,15,2,black_box,-5012.166711558282,0.0,-5003.823554567319,0.0,-101.99263147033041,5.4730000495910645
"Normal 50,5 - 35,65",5,15,5,black_box,-5012.166711558282,0.0,-5003.823554567319,0.0,-101.99263147033041,36.92700004577637
"Normal 50,5 - 35,65",10,30,2,black_box,-6250.0,0.0,-6240.255053186617,0.0,-200.54429326514253,21.630000114440918
"Normal 50,5 - 35,65",10,30,5,black_box,-6250.0,0.0,-6240.255053186617,0.0,-200.54429326514253,176.56300020217896
"Unif 10,90",5,15,2,local_search_independent,-4016.666666666667,0.0,-4064.8975716496598,0.0,-123.44009191486883,0.10099983215332031
"Unif 10,90",5,15,5,local_search_independent,-4016.666666666667,0.0,-4064.8975716496598,0.0,-123.44009191486883,11.943000078201294
"Unif 10,90",10,30,2,local_search_independent,-5266.666666666667,0.0,-5289.602012605942,0.0,-197.5632304919473,0.016000032424926758
"Unif 10,90",10,30,5,local_search_independent,-5266.666666666667,0.0,-5289.602012605942,0.0,-197.5632304919473,152.0829999446869
"Normal 50,5 - 10,90",5,15,2,local_search_independent,-3762.499999999999,0.0,-3758.174955707783,0.0,-100.70214195045097,0.006000041961669922
"Normal 50,5 - 10,90",5,15,5,local_search_independent,-3762.499999999999,0.0,-3758.174955707783,0.0,-100.70214195045097,29.836999893188477
"Normal 50,5 - 10,90",10,30,2,local_search_independent,-6262.499999999999,0.0,-6312.410679352802,0.0,-149.82461683763128,0.01699995994567871
"Normal 50,5 - 10,90",10,30,5,local_search_independent,-6262.499999999999,0.0,-6312.410679352802,0.0,-149.82461683763128,297.3800001144409
"Normal 50,5 - 35,65",5,15,2,local_search_independent,-5012.166711558282,0.0,-5001.7685059784435,0.0,-104.15994981871586,0.00599980354309082
